timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T19:25:22+03:00,92.8,performance,manual,84.5,72.0,174.1,,,84.5,71.8,,84.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:23+03:00,93.8,performance,manual,84.5,72.0,174.1,,,84.5,71.8,,84.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:24+03:00,94.9,performance,manual,85.8,72.0,174.1,,,84.6,71.8,,85.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:25+03:00,95.9,performance,manual,87.0,72.0,174.3,,,84.9,71.8,,87.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,41.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:26+03:00,97.0,performance,manual,88.4,73.0,174.3,,,85.2,71.9,,88.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:28+03:00,98.1,performance,manual,88.5,73.0,174.4,,,85.6,72.0,,88.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:29+03:00,99.1,performance,manual,87.6,73.0,174.4,,,85.8,72.1,,87.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:30+03:00,100.2,performance,manual,88.6,73.0,174.4,,,86.0,72.2,,88.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:31+03:00,101.2,performance,manual,88.9,73.0,174.4,,,86.3,72.3,,88.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:32+03:00,102.3,performance,manual,88.8,73.0,174.4,,,86.6,72.4,,88.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:33+03:00,103.3,performance,manual,89.0,73.0,169.3,,,86.8,72.4,,89.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:34+03:00,104.4,performance,manual,89.1,73.0,169.2,,,87.0,72.5,,89.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:35+03:00,105.5,performance,manual,89.0,73.0,169.3,,,87.2,72.5,,89.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:36+03:00,106.5,performance,manual,89.0,73.0,174.6,,,87.4,72.6,,89.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:37+03:00,107.6,performance,manual,91.8,73.0,174.3,,,87.8,72.6,,91.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,200,78.4,1,195,4600,4800,
2026-09-06T19:25:38+03:00,108.7,performance,emergency,93.2,73.0,160.0,,,88.4,72.7,,88.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,195,4600,4800,raw critical threshold
2026-09-06T19:25:39+03:00,109.8,performance,emergency,93.8,73.0,160.4,,,88.9,72.7,,88.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,204,4800,5000,raw critical threshold
2026-09-06T19:25:40+03:00,110.9,performance,emergency,92.0,73.0,169.8,,,89.2,72.7,,89.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,216,5100,5300,raw critical threshold
2026-09-06T19:25:41+03:00,112.0,performance,emergency,90.0,73.0,168.5,,,89.3,72.8,,89.3,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,225,5300,5600,waiting for critical release
